English,Uzbek
fire,olov
cried,qichqirdi
2,2
women,ayollar
speak,gapirmoq
number,raqam
therefore,shu sababli
hour,soat
friends,do'stlar
held,boshlang'ich
free,ozod
war,urush
during,davrida
several,bir nechta
business,biznes
whether,yo'qmi
er,yer
manner,usul
second,ikkinchi
reason,sabab
replied,javob berdi
united,birlashgan
call,qo'ng'iroq qilmoq
general,umumiy
why,nima uchun
behind,orqasida
became,ga aylandi
john,johil
become,bo'lmoq
dead,o'lik
earth,er
boy,bola
lost,yo'qolgan
forth,oldinga
thousand,ming
looking,qarash
I'll,Men
family,oila
soul,jon
feel,his qilmoq
coming,kelish
England,G'ayritabiiy
spirit,ruh
question,savol bermoq
care,g'amxo'rlik
truth,haqiqat
ground,yer
really,chindan ham
rest,dam olish
mean,anglatadi
different,har xil
making,tayyorlash
possible,mumkin
fell,yiqilib tushgan
towards,tomonga qarab
human,inson
kept,saqlanib qolgan
short,qisqa
town,shahar
following,quyidagi
need,ehtiyoj
cause,sabab
met,uchrashmoq
evening,oqshom
returned,qaytarilgan
five,besh
strong,kuchli
able,qodir
french,fransuz
live,jonli
lady,xonim
subject,Mavzu
sn,sn
answer,javob
sea,dengiz
fear,qo'rquv
understand,tushunmoq
hard,qattiq
terms,shartlar
doubt,shubha qilmoq
around,atrofida
ask,so'rang
arms,qurol
turn,burilmoq
sense,ma'no
seems,ko'rinadigan
black,qora
bring,olib kelmoq
followed,keyin
beautiful,chiroyli
close,yaqin
dark,qorong'i
hold,tutmoq
character,xarakter
sort,tartib
sight,ko'rish
ten,o'nta
show,ko'rsatish
party,partiya
fine,yaxshi
ye,siz
ready,tayyor
story,hikoya
common,umumiy
book,kitob
electronic,elektron
talk,bahslashmoq
account,hisob
mark,mark
interest,qiziqish
written,yozma
can't,tushuna olmaydi
bed,to'shak
necessary,zarur
age,yosh
else,boshqa
force,kuch
idea,fikr
longer,uzoqroq
art,san'at
spoke,gapirish
across,bo'ylab
brother,aka
early,erta
ought,kerak
sometimes,ba'zan
line,chiziq
saying,gapirmoq
table,stol
appeared,paydo bo'ldi
river,daryo
continued,davom etdi
eye,ko'z
ety,ety
sun,quyosh
information,ma `lumot
later,keyinchalik
everything,hamma narsa
reached,yetib bordi
suddenly,to'satdan
past,o'tmishdagi
hours,soat
strange,g'alati
deep,chuqur
change,o'zgarish
miles,milya
feeling,his-tuyg'u
act,harakat qilmoq
meet,uchrashmoq
paid,to'langan
further,keyinchalik
purpose,maqsad
happy,baxtli
added,qo'shilgan
seem,ko'rinadigan
taking,olmoq
blood,qon
rose,atirgul
south,janub
beyond,narida
cold,sovuq
neither,ham
forward,oldinga
view,ko'rinish
I've,menda bor
position,pozitsiya
sound,tovush
none,hech biri
entered,kiritilgan
clear,aniq
road,yo'l
late,kechqurun
stand,turmoq
suppose,o'ylamoq
la,lazzat
daughter,qiz
real,haqiqiy
nearly,deyarli
mine,meniki
laws,Qonunlar
knowledge,bilim
comes,keladi
toward,tomon
bad,yomon
cut,kesmoq
copy,nusxa ko'chirmoq
husband,er
six,olti
France,Frantsiya
living,yashash
peace,tinchlik
didn't,qilmadi
low,past
north,shimoliy
remember,esda tutmoq
effect,ta'sir
natural,tabiiy
pretty,juda chiroyli
fall,yiqilmoq
fair,yarmarka
service,xizmat
below,quyida
except,bundan mustasno
American,Amerikalik
hair,Soch
London,London
laid,yotqizilgan
pass,pas
led,LED
copyright,mualliflik huquqi
doing,qil
army,armiya
run,yugurish
horse,ot
future,kelajak
opened,ochilgan
pleasure,zavq
history,tarix
west,g'arb
pay,to'lash
red,qizil
an',a '
4,4
hath,do'zax
note,Eslatma
although,garchi
wanted,istagan
gold,oltin
makes,qiladi
desire,istak
play,o'ynash
master,usta
office,idora
tried,sinab ko'rdi
front,old
big,katta
Dr,Doktor
lived,yashagan
certainly,albatta
wind,shamol
receive,qabul qilmoq
attention,diqqat
government,hukumat
unto,uchun
church,cherkov
strength,kuch
length,uzunligi
company,jamiyat
placed,joylashtirilgan
paper,qog'oz
letters,harflar
probably,ehtimol
glad,xursand
important,muhim
especially,ayniqsa
greater,katta
yourself,o'zingiz
fellow,do'st
bear,ayiq
opinion,fikr
window,deraza
ran,yugurmoq
faith,ishonch
ago,ilgari
agreement,kelishuv
charge,ayblamoq
beauty,go'zallik
lips,lablar
remained,qolgan
arm,qo'l
latter,oxirgi
duty,burch
send,yuborish
distance,masofa
silence,sukunat
foot,oyoq
wild,yovvoyi
object,ob'ekt
die,o'lmoq
save,tejash
gentleman,jentlmen
trees,Daraxtlar
green,yashil rang
trouble,qayg'u
smile,tabassum qilmoq
books,Kitoblar
wrong,noto'g'ri
various,har xil
sleep,uyqu
persons,shaxslar
blockquote,bokko't
happened,sodir bo'ldi
particular,ma'lum bir
drew,tortmoq
minutes,daqiqa
hardly,qiyin
walked,yurarkan
chief,boshliq
chance,imkoniyat
according,ko'ra
beginning,boshi
action,harakat
deal,bitim
loved,sevgan
visit,ziyorat qilmoq
thinking,o'ylamoq
follow,ergashmoq
standing,tik turgan
knows,biladigan
try,sinab ko'rmoq
presence,borliqlik
heavy,og'ir
sweet,shirin
plain,tekis
donations,Xayriyat
immediately,darhol
wrote,yozma
mouth,og'iz
rich,boy
thoughts,fikrlar
months,oylar
u,u
won't,bo'lmaydi
afraid,qo'rqitmoq
Paris,Parij
single,yolg'iz
joy,quvonch
enemy,dushman
broken,singan
unless,bo'lmasa
states,Shtatlar
ship,kema
condition,shart
carry,ko'tarmoq
exclaimed,xitob qildi
including,shu jumladan
filled,to'ldirilgan
seeing,ko'rish
influence,ta'sir
write,yozmoq
boys,o'g'il bolalar
appear,paydo bo'ladigan
outside,tashqi
secret,sir
parts,qismlar
please,Iltimos
appearance,tashqi ko'rinish
evil,yovuzlik
march,mart oyi
George,Jorj
whatever,nima bo'lsa ham
slowly,sekin
tears,ko'z yoshlari
horses,otlar
places,joylar
caught,ushlangan
stay,turmoq
instead,o'rniga
struck,urib yuborilgan
blue,ko'k
York,Shayton
impossible,imkonsiz
period,davr
sister,singil
battle,jang
school,maktab
Mary,Miyam
raised,ko'tarilgan
occasion,voqea
married,uylangan
man's,erkak
former,sobiq
food,ovqat
youth,yoshlik
learned,o'rgangan
merely,shunchaki
reach,yetmoq
system,tizim
twenty,yigirma
dinner,kechki ovqat
quiet,jim
easily,osonlikcha
moved,Ko'chib
afterwards,keyin
giving,berib
walk,sayr qilmoq
stopped,to'xtatildi
laughed,kuldi
language,til
expression,ifoda
week,hafta
hall,zal
danger,Xavfli
property,mulk
wonder,hayron bo'lmoq
usual,odatiy
figure,rasm
born,tug'ilgan
court,sud
generally,umuman
grew,o'smoq
showed,ko'rsatdi
getting,olish
ancient,qadimiy
respect,hurmat qilmoq
third,uchinchi
worth,arziydigan
simple,oddiy
tree,daraxt
leaving,ketish
remain,qolmoq
society,jamiyat
fight,jang
wall,devor
result,natija
heaven,osmon
William,Uilyam
started,boshlandi
command,buyruq
tone,ohang
regard,hurmat
expected,kutilgan
mere,oddiy
month,oy
beside,yonida
silent,jim
perfect,mukammal
experience,tajriba
street,ko'cha
writing,yozuv
goes,ketadigan
circumstances,vaziyat
entirely,butunlay
fresh,yangi
duke,gersog
covered,yoritilgan
bound,bog'langan
east,sharqqa
wood,o'tin
stone,tosh
quickly,tezda
notice,e'tibor
bright,yorqin
Christ,Biz
boat,qayiq
noble,olijanob
meant,nazarda tutilgan
somewhat,biroz
sudden,to'satdan
value,qiymati
c.,v.
direction,yo'nalish
chair,kafedra
due,to'langan
support,qo'llab-quvvatlash
tom,tom
date,sana
waiting,kutish
Christian,Xristian
village,qishloq
lives,hayot tarzi
reading,o'qish
agree,rozi bo'lmoq
lines,chiziqlar
considered,deb hisoblangan
field,maydon
observed,kuzatilgan
scarcely,zo'rg'a
wished,orzu qilingan
wait,Kutmoq
greatest,eng katta
permission,ruxsat
success,muvaffaqiyat
piece,bo'lak
British,Britaniyalik
ex,sobiq
Charles,Shivir
formed,shakllangan
speaking,Gapirmoqda
trying,harakat qilmoq
conversation,suhbat
proper,to'g'ri
hill,tepalik
music,musiqa
opportunity,imkoniyat
that's,bu
German,Nemis
afternoon,tushdan keyin
cry,yig'lamoq
cost,narx
allowed,ruxsat berilgan
girls,qizlar
considerable,sezilarli
c,t
broke,buzilib ketgan
honour,sharaf
seven,Yetti
private,xususiy
sit,o'tirmoq
news,Yangiliklar
top,eng yuqori
scene,sahna
discovered,kashf etilgan
marriage,nikoh
step,qadam
garden,bog '
race,poyga
begin,boshlanishi
per,har bir
individual,individual
sitting,o'tirish
learn,o'rganmoq
political,siyosiy
difficult,qiyin
bit,bit
speech,nutq
Henry,Grom
lie,yolg'on gapirmoq
cast,tashlamoq
eat,yemoq
authority,hokimiyat
etc.,va boshqalar.
floor,zamin
ill,kasal
ways,yo'l-yo'riq
officers,ofitserlar
offered,taklif qilingan
original,asl
happiness,baxt
flowers,gullar
produced,ishlab chiqarilgan
summer,yoz
provide,ta'minlamoq
study,o'rganish
religion,dini
picture,rasm
walls,devorlar
personal,shaxsiy
America,Amerika
watch,tomosha
pleased,mamnun
leaves,barglar
declared,deb e'lon qilingan
hot,issiq
understood,tushunarsiz
effort,harakat
prepared,tayyorlangan
escape,qochish
attempt,urinish
supposed,taxmin qilingan
killed,o'ldirilgan
fast,tez
author,muallif
Indian,Hindistonlik
brown,jigarrang
determined,aniqlamoq
pain,og'riq
spring,bahor
takes,davom etadi
drawn,chizilgan
soldiers,askarlar
houses,uylar
beneath,ostki
talking,gapirish
turning,burilish
century,asr
steps,qadamlar
intended,mo'ljallangan
soft,yumshoq
straight,Streyt
matters,muhim narsalar
likely,ehtimol
corner,burchak
trademark,savdo belgisi
justice,adolat
simply,oddiy
produce,mahsulot
trust,ishonch
appears,paydo bo'ladi
Rome,Rom
laugh,kulmoq
forget,unutmoq
Europe,Boshqa
passage,o'tish
eight,sakkiz
closed,yopiq
ourselves,o'zimiz
gives,beradi
dress,kiyinish
passing,o'tkinchi
terrible,qo'rqinchli
required,talab qilingan
medium,o'rta
efforts,harakat
sake,uchun
breath,nafas
wise,dono
ladies,xonimlar
possession,egalik qilish
pleasant,yoqimli
perfectly,Mukammal
o',o '
memory,xotira
usually,odatda
grave,qabr
fixed,sobit
modern,zamonaviy
spot,joy
troops,qo'shinlar
rise,ko'tarilmoq
break,sindirmoq
fifty,ellik
island,orol
meeting,uchrashuv
camp,lager
nation,millat
existence,mavjudlik
reply,javob bermoq
I'd,Men
copies,nusxalari
sky,osmon
touch,tegmoq
equal,teng
fortune,baxtsizlik
v.,v.
shore,qirg'oq
domain,domen
named,nomlangan
situation,vaziyat
looks,ko'rinadigan
promise,va'da
orders,buyruqlar
degree,daraja
middle,o'rtada
winter,qish
plan,rejalashtirmoq
spent,sarflangan
allow,ruxsat bermoq
pale,rangpar
conduct,xulq-atvor
running,yugurish
religious,diniy
surprise,ajablanib
minute,minut
roman,rim
cases,holatlar
shot,otishma
lead,qo'rg'oshin
move,harakat qilmoq
names,Ismlar
Word,So'z
stop,STOP
higher,yuqori
et,chivin
father's,Otamning
threw,tashlamoq
worse,yomon
built,qurilgan
spoken,og'zaki
glass,shisha
board,kengash
vain,behuda sarf qilmoq
affairs,ish
instance,misol
safe,xavfsiz
loss,yo'qotish
doctor,shifokor
offer,taklif qilmoq
class,sinf
complete,to'liq
access,kirish
lower,pastroq
wouldn't,bo'lardi
repeated,takrorlangan
forms,shakllar
darkness,qorong'ilik
military,harbiy xizmatchi
warm,iliq
drink,ichimlik
passion,ishtiyoq
ones,bir kishi
physical,jismoniy
example,misol
ears,quloqlari
questions,Savollar
start,boshlamoq
lying,yolg'on gapirish
smiled,jilmaygan
keeping,saqlamoq
spite,o'xshamoq
shown,ko'rsatilgan
directly,to'g'ridan-to'g'ri
james,jakam
hart,g'amgin
serious,jiddiy
hat,shlyapa
dog,it
silver,kumush
sufficient,yetarli
main,asosiy
mentioned,aytib o'tilgan
servant,xizmatkor
pride,mag'rurlik
crowd,olomon
train,poezd
wonderful,ajoyib
moral,ahloqiy
instant,bir lahzalik
associated,bog'langan
path,yo'l
greek,yunon
meaning,ma'no
fit,moslashtirmoq
ordered,buyurtma qilingan
lot,lot
he's,u
proved,isbotlangan
obliged,majbur
enter,kirmoq
rule,qoida
sword,qilich
attack,hujum
seat,o'rindiq
game,o'yin
health,sog'liq
paragraph,paragraf
statement,bayonot
social,ijtimoiy
refund,qaytarmoq
sorry,uzr
courage,jasorat
members,a'zolari
grace,inoyat
official,rasmiy
dream,orzu qilmoq
worthy,munosib
rock,tog 'jinsi
jack,xalal
provided,taqdim etilgan
special,maxsus
shook,titramoq
request,talab qilmoq
mighty,qudratli
glance,qarash
heads,boshlar
movement,harakat
fee,haq
share,baham ko'rmoq
expect,kutmoq
couldn't,bo'lmadi
dollars,dollar
spread,tarqalish
opposite,qarama-qarshi
glory,shon-sharaf
twelve,o'n ikki
space,kosmos
engaged,unashtirilgan
peter,shayton
wine,vino
ordinary,oddiy
mountains,tog'lar
taste,tatib ko'rmoq
iron,temir
isn't,emas
distribute,tarqatmoq
trade,savdo
consider,o'ylab ko'ring
greatly,juda
accepted,qabul qilingan
forced,majburiy
advantage,afzallik
ideas,fikrlar
decided,qaror qabul qildi
using,ishlatish
officer,zobit
rate,baholamoq
clothes,kiyim
sign,belgi
feelings,his-tuyg'ular
native,mahalliy
promised,va'da qilingan
judge,sudya
difference,farq
working,ishlamoq
anxious,xavotirlik
marry,uylanmoq
captain,kapitan
finished,tugatilgan
extent,hajmi
watched,ko'rilgan
curious,qiziquvchan
foreign,xorijiy
besides,bundan tashqari
method,usul
excellent,juda yaxshi
confidence,ishonch
marked,belgilangan
em,xom
jesus,Iso
exactly,aniq
importance,ahamiyatlilik
finally,nihoyat
bill,qonun loyihasi
vast,ulkan
prove,isbotlamoq
fancy,yoqimsiz
quick,tez
yes,ha
sought,izlagan
prevent,oldini olmoq
neck,bo'yin
hearts,yurak
liberty,ozodlik
interesting,qiziq
sides,tomon
legal,qonuniy
gentlemen,janoblar
dry,quruq
serve,xizmat qilmoq
aside,bir chetga surmoq
pure,toza
concerning,bor
forgotten,unutilgan
lose,yo'qotish
powers,kuchlar
possessed,o'ziga tortadigan
thrown,tashlandi
evidence,dalil
distant,uzoq
Michael,Mimul
progress,taraqqiyot
similar,o'xshash
narrow,tor
altogether,birgalikda
building,qurilish
page,saxiy
particularly,ayniqsa
knowing,bilish
weeks,haftalar
settled,joylashadigan
holding,ushlab turish
mountain,tog
search,qidirmoq
sad,qayg'uli
sin,gunoh
lies,yolg'on
proud,mag'rur
pieces,bo'lak
clearly,aniq
price,narx
ships,kemalar
thirty,o'ttizda
sick,kasal
honest,rostgo'y
shut,yopmoq
talked,suhbat qurilgan
bank,bank
fate,taqdir
dropped,tashlangan
judgment,hukm
conditions,shartlar
king's,shoh
accept,qabul qilmoq
hills,tepaliklar
removed,olib tashlangan
forest,o'rmon
measure,o'lchash
species,turlar
seek,izlamoq
highest,eng yuqori
otherwise,aks holda
stream,oqim
honor,sharaf
carefully,ehtiyotkorlik bilan
obtained,olingan
ear,quloq
bread,non
bottom,pastki
additional,qo'shimcha
presented,taqdim etilgan
aid,yordam
fingers,barmoqlar
q,sh
remembered,esda tutilgan
choose,tanlamoq
agreed,kelishilgan
animal,hayvon
events,Voqealar
there's,bor
fully,to'la
delight,zavq
rights,huquqlar
amount,miqdori
obtain,olmoq
tax,soliq
servants,xizmatkorlar
sons,o'g'illari
cross,kesib o'tish
shoulders,yelkalar
thick,qalin
points,Ballar
stranger,notanish
woods,o'rmonlar
facts,faktlar
dare,qo'rqitmoq
grow,o'smoq
creature,jonzot
hung,osma
rain,yomg'ir
FALSE,Yolg'on
tall,uzun bo'yli
gate,Darvoza
nations,xalqlar
created,yaratilgan
refused,rad qilindi
quietly,sekin
surface,sirtmoq
freely,bemalol
holy,muqaddas
streets,ko'chalar
blow,puflamoq
july,iyul
regarded,e'tibor qaratmoq
fashion,moda
report,hisobot
coast,qirg'oq
daily,har kuni
file,fayli
shoulder,yelka
surprised,hayron qolgan
faces,yuzlari
succeeded,muvaffaqiyat qozondi
birds,qushlar
distribution,taqsimlash
royal,qirollik
song,Qo'shiq
wealth,boylik
comfort,qulaylik
failed,muvaffaqiyatsiz
freedom,erkinlik
peculiar,o'ziga xos
anyone,har kim
advance,oldinga siljish
gentle,yumshoq
surely,shubhasiz
animals,hayvonlar
waited,kutish
secure,himoya qilmoq
desired,orzu qilingan
grass,o't
touched,tebrangan
occupied,ishg'ol
draw,chizmoq
stage,sahna
portion,qism
expressed,ifodali
opening,ochish
june,iyun
spirits,ruhlar
fish,baliq
tongue,til
capital,poytaxt
angry,badjahl
growing,o'sib borayotgan
served,xizmat qiladigan
carriage,tashish
weather,ob-havo
breast,ko'krak
presently,hozirda
snow,qor
David,Dovg'in
papers,qog'ozlar
necessity,zarurat
practice,amaliyot
claim,Talab
hast,qimmoq
education,ta'lim
sharp,o'tkir
prince,shahzoda
permitted,ruxsat berilgan
group,guruh
enemies,dushmanlar
robert,robert
played,o'ynagan
throughout,butunlay
pity,achinish
expense,xarajat
yours,sizniki
million,million
add,qo'shmoq
pray,ibodat qilmoq
taught,o'rgatilgan
explained,tushuntirib beradigan
tired,charchagan
leading,yetakchi
kill,o'ldirmoq
shadow,soya
companion,hamroh
weight,vazn
mass,massa
established,o'rnatilgan
suffered,azob chekkan
gray,kulrang
brave,jasur
thin,ingichka
satisfied,qanoatlantiradigan
check,tekshirmoq
virtue,fazilat
golden,oltin
numerous,ko'p sonli
frequently,tez-tez
famous,mashhur
telling,gaplashmoq
powerful,kuchli
alive,tirik
waters,suvlar
national,milliy
weak,kuchsiz
divine,ilohiy
material,material
principal,asosiy
gathered,to'plangan
suggested,taklif qilingan
frank,frank
valley,vodiy
guess,taxmin qilmoq
finding,topish
yellow,sariq
heat,issiqlik
remains,qolgan
bent,egilgan
seized,tutatilgan
guard,qorovul
equally,bir xil
naturally,tabiiy ravishda
box,quti
remarkable,ajoyib
gods,xudolar
moon,oy
slight,ozgina
style,uslub
pointed,ishora
saved,saqlangan
windows,derazalar
crossed,kesib o'tgan
louis,lyuis
pounds,funt
ain't,emas
evidently,shubhasiz
principle,printsip
immediate,zudlik bilan
willing,tayyor
consequence,natijasi
richard,richard
principles,asos
characters,belgilar
paul,paul
season,mavsum
remarked,diqqatga sazovor
science,ilm-fan
tender,tender
worked,ishlagan
grown,o'sgan
whispered,shivirlamoqchi
interested,manfaatdor
quarter,chorak
midst,o'rtada
liked,yoqqan
advanced,rivojlangan
apparently,aftidan
bore,qadoqlamoq
pwh,peshona
active,faol
noticed,ko'rilgan
aware,xabardor qilmoq
thomas,tatiragan
uncle,amaki
list,ro'yxat
dangerous,xavfli
august,avgust
calm,sokin
genius,daho
sacred,muqaddas
kingdom,shohlik
entire,butun
popular,mashhur
unknown,noma'lum
nice,yaxshi
habit,odat
spanish,ispancha
familiar,tanish
reader,o'quvchi
published,nashr etilgan
direct,to'g'ridan-to'g'ri
handsome,kelishgan
you'll,siz
joined,qo'shilgan
actually,aslida
kings,Shohlar
sd,sd
posted,e'lon qilingan
approach,yondashuv
Washington,Vashton
hearing,eshitish
needed,zarur
increased,oshdi
walking,yurish
twice,ikki marta
throw,otmoq
intellectual,intellektual
appointed,tayinlangan
wisdom,donolik
ceased,to'xtagan
truly,chindan ham
numbers,Raqamlar
demanded,talab
priest,ruhoniy
wounded,yarador
sorrow,qayg'u
drive,haydash
fault,ayb
listened,tinglash
palace,saroy
affair,ish
contact,aloqa
distinguished,taniqli
station,stantsiya
beat,urmoq
distributed,tarqatilgan
e,t
listen,tinglamoq
Italy,Italiya
fool,ahmoq
becomes,aylanadi
watching,tomosha
hurt,zarar yetkazmoq
wants,istagan
express,ifoda etmoq
occurred,sodir bo'ldi
favour,marhamat
height,balandlik
size,o'lcham
edge,qirra
subjects,Mavzular
task,vazifa
follows,quyidagicha
interests,qiziqish
nine,to'qqiz
sympathy,xayrixohlik
burst,portlamoq
putting,zinapoya
dressed,kiyingan
lifted,ko'tarilgan
hopes,umidlar
suffer,azoblamoq
noise,shovqin
smiling,jilmayish
rode,yugurish
tells,aytadi
minds,aql
farther,uzoqroq
literature,adabiyot
vessel,kemirmoq
affection,mehr
suffering,azob-uqubat
proceeded,davom etdi
flesh,tana
advice,maslahat
grand,katta
carrying,ko'tarish
legs,oyoqlari
Spain,Ispaniya
post,post
collection,yig'ish
empty,bo'sh
rank,unvon
storm,bo'ron
god's,Xudo
imagine,tasavvur qilmoq
wore,kiymoq
duties,vazifa
admitted,qabul qilingan
countries,Mamlakatlar
pocket,cho'ntak
arrival,kelish
imagination,xayol
driven,boshqariladigan
loud,baland ovozda
sentence,hukm
lovely,yoqimli
extraordinary,favqulodda
November,Noyabr
December,Dekabr
happen,sodir bo'lmoq
absence,yo'qlik
breakfast,nonushta
population,aholi
thank,rahmat
rules,qoidalar
inhabitants,aholisi
series,seriya
laughing,kulish
address,manzil
relief,yordam berish
bird,qush
owner,egasi
impression,taassurot
satisfaction,qoniqish
coat,palto
prepare,tayyorlamoq
relations,munosabatlar
shape,shakl
birth,tug'ilish
rapidly,tez
smoke,tutun
January,Yanvar
mother+'s,onasi + s
machine,mashina
content,tarkib
consideration,ko'rib chiqish
accompanied,hamroh bo'ladigan
regular,muntazam
moving,ko'chib o'tish
stands,stendlar
wholly,to'la-to'kis
teeth,tishlar
busy,band
treated,muomala qilingan
burning,yonayotgan
shame,uyat
quality,sifat
bay,ko'rfaz
discover,kashf qilmoq
inside,ichkarida
brain,miya
soil,tuproq
completely,butunlay
message,xabar
ring,halqa
resolved,hal qilingan
calling,qo'ng'iroq
phrase,ibora
acts,harakat
mention,aytib o'tmoq
square,kvadrat
pair,juftlik
won,yutuq
title,sarlavha
understanding,tushunish
Sunday,yakshanba
fruit,meva
mad,Telba
forces,kuchlar
included,kiritilgan
tea,choy
rocks,tog 'jinslari
nearer,yaqinroq
slaves,qul
falling,yiqilish
absolutely,mutlaqo
slow,sekin
bearing,ko'tarmoq
mercy,rahm-shafqat
larger,katta
explain,tushuntirmoq
contain,o'z ichiga olgan
grief,qayg'u
soldier,askar
wasn't,emas edi
countenance,yuzma-chaqa
previous,oldingi
explanation,tushuntirish
welcome,xush kelibsiz
proposed,taklif qilingan
prayer,ibodat
stars,yulduzlar
Germany,Germaniya
belief,ishonch
informed,xabardor
moments,lahzalar
poetry,she'riyat
constant,doimiy
buy,sotib olmoq
final,yakuniy
faithful,sodiq
ride,sayr qilmoq
policy,siyosat
supper,kechki ovqat
drawing,chizma
excitement,hayajon
dying,o'lish
demand,talab qilmoq
fighting,jang
fields,maydonlar
drove,haydamoq
upper,yuqori
sum,so'm
Philip,Xo'randa
motion,harakat
assistance,yordam
forty,qirq
April,Aprel
stones,Toshlar
Edward,Qirg'iy
